chr	start	end	posterior_probability	log2_fc
chr3	156271913.0	156271914.0	1.173905512387567e-140	-2.8373591899871826
chr12	76478445.0	76478446.0	2.9780121771286103e-77	-0.9460605382919312
chr17	55927404.0	55927405.0	2.5152007150742756e-64	-1.9934961795806885
chr4	56262124.0	56262125.0	1.9884841070084216e-61	-1.2034119367599487
chr1	35324645.0	35324646.0	1.0620561644251856e-53	-1.5797441005706787
chr5	141392358.0	141392359.0	3.5240847522576507e-53	-2.025771141052246
chr6	53213723.0	53213724.0	6.176088401810359e-34	-1.3537622690200806
chr1	156722239.0	156722240.0	5.745756011412196e-17	-0.5589115619659424
chr7	12726481.0	12726482.0	5.312700965444975e-13	-0.41177716851234436
chr3	195808960.0	195808961.0	7.058140569380891e-06	-0.5937319397926331
