chr1	start1	end1	chr2	start2	end2	posterior_probability	log2_fc
chr8	23366136.0	23366564.0	chr8	23386318.0	23386319.0	3.6420148753817265e-20	-0.9234448671340942
chr9	135879214.0	135879689.0	chr9	135820938.0	135820939.0	1.2855467490146135e-18	-1.1706531047821045
chr9	75758860.0	75759012.0	chr9	75766673.0	75766674.0	1.843007496426887e-13	-1.0009791851043701
chr9	130624341.0	130624862.0	chr9	130635822.0	130635823.0	1.97412427856133e-06	-0.5251579880714417
chr9	100723075.0	100723327.0	chr9	100745643.0	100745644.0	7.36544026305907e-05	-0.22832605242729187
chr9	100723075.0	100723327.0	chr9	100700674.0	100700675.0	0.00915224801193771	-0.43733131885528564
chr9	130624341.0	130624862.0	chr9	130213651.0	130213652.0	0.12445784807890654	-0.05438147485256195
chr9	100723075.0	100723327.0	chr9	100069941.0	100069942.0	0.19521226919961412	-0.04585312679409981
chr9	130624341.0	130624862.0	chr9	130700121.0	130700122.0	0.2335135560521469	-0.05045036971569061
chr9	100723075.0	100723327.0	chr9	100395908.0	100395909.0	0.27528785308042014	-0.04610225558280945
chr9	130624341.0	130624862.0	chr9	136243238.0	136243239.0	0.2940410115313734	-0.04018813744187355
chr9	135879214.0	135879689.0	chr9	134955252.0	134955253.0	0.3003000360614345	-0.03558743745088577
chr9	100723075.0	100723327.0	chr9	100263462.0	100263463.0	0.33641505480425055	-0.044435594230890274
chr9	130624341.0	130624862.0	chr9	136325087.0	136325088.0	0.34474564563104915	-0.030138185247778893
chr9	130624341.0	130624862.0	chr9	136215069.0	136215070.0	0.3461071551670496	-0.025524117052555084
chr9	130624341.0	130624862.0	chr9	131174045.0	131174046.0	0.37538546296332787	-0.028594445437192917
chr8	23366136.0	23366564.0	chr8	22409208.0	22409209.0	0.38302878706701715	-0.02957237884402275
chr9	100723075.0	100723327.0	chr9	100975831.0	100975832.0	0.38331875157472994	-0.03456645458936691
chr9	130624341.0	130624862.0	chr9	129677053.0	129677054.0	0.38554736038358006	-0.029268501326441765
chr9	130624341.0	130624862.0	chr9	130213765.0	130213766.0	0.39615056687622763	-0.07701501995325089
chr9	130624341.0	130624862.0	chr9	131266979.0	131266980.0	0.3981046687808605	-0.027486812323331833
chr9	130624341.0	130624862.0	chr9	135820938.0	135820939.0	0.4634329940048061	-0.027220183983445168
chr9	130624341.0	130624862.0	chr9	136857402.0	136857403.0	0.4770889894337751	-0.027680935338139534
chr9	100723075.0	100723327.0	chr9	100819021.0	100819022.0	0.48156701038902117	-0.031145473942160606
chr9	130624341.0	130624862.0	chr9	130830480.0	130830481.0	0.48676844390398233	-0.02443842589855194
chr9	135879214.0	135879689.0	chr9	135230371.0	135230372.0	0.4993333779698206	-0.024582194164395332
chr9	130624341.0	130624862.0	chr9	131486401.0	131486402.0	0.5497642264826328	-0.015084543265402317
chr9	135879214.0	135879689.0	chr9	136223428.0	136223429.0	0.5836005250793357	-0.022434990853071213
chr9	135879214.0	135879689.0	chr9	136283163.0	136283164.0	0.5970740400928576	-0.022428765892982483
chr9	130624341.0	130624862.0	chr9	131580753.0	131580754.0	0.6080922520637828	-0.02228841744363308
chr8	23366136.0	23366564.0	chr8	22457114.0	22457115.0	0.6093751490855812	-0.023466823622584343
chr8	23366136.0	23366564.0	chr8	22436254.0	22436255.0	0.6105628398530052	-0.019774017855525017
chr9	100723075.0	100723327.0	chr9	100174232.0	100174233.0	0.6230324798571159	-0.018119003623723984
chr9	130624341.0	130624862.0	chr9	130679304.0	130679305.0	0.6315210410666264	-0.027021273970603943
chr8	23366136.0	23366564.0	chr8	23082573.0	23082574.0	0.664102211588341	-0.019599683582782745
chr9	100723075.0	100723327.0	chr9	100935165.0	100935166.0	0.6905533433366434	-0.017073431983590126
chr8	23366136.0	23366564.0	chr8	23101150.0	23101151.0	0.7005655574976823	-0.01324955653399229
chr9	135879214.0	135879689.0	chr9	136203234.0	136203235.0	0.7160907717237134	-0.011352667585015297
chr9	75758860.0	75759012.0	chr9	74979541.0	74979542.0	0.7252324022814332	-0.016806036233901978
chr9	130624341.0	130624862.0	chr9	130186653.0	130186654.0	0.746320821139911	-0.014243132434785366
chr9	130624341.0	130624862.0	chr9	135753414.0	135753415.0	0.8046104697363615	-0.009050111286342144
chr9	130624341.0	130624862.0	chr9	131549483.0	131549484.0	0.8133690134969765	-0.00833169650286436
chr9	130624341.0	130624862.0	chr9	136039281.0	136039282.0	0.8571975555381526	-0.00626683235168457
chr9	130624341.0	130624862.0	chr9	131464802.0	131464803.0	0.8808291784511955	-0.006283357739448547
chr9	135879214.0	135879689.0	chr9	135906062.0	135906063.0	0.9149939911740533	-0.004917648620903492
chr9	130624341.0	130624862.0	chr9	130331366.0	130331367.0	0.9200705811211459	-0.004122305195778608
chr9	130624341.0	130624862.0	chr9	130477935.0	130477936.0	0.9526836781578476	-0.0025184117257595062
chr9	100723075.0	100723327.0	chr9	99775861.0	99775862.0	0.963410229781759	-0.0017977315001189709
chr9	130624341.0	130624862.0	chr9	130890466.0	130890467.0	0.9794675276926074	-0.0009574717259965837
chr9	135879214.0	135879689.0	chr9	135545787.0	135545788.0	0.990276835826618	-0.0005570155917666852
chr9	130624341.0	130624862.0	chr9	136283163.0	136283164.0	0.9978905655786334	-9.210772259393707e-05
chr9	100723075.0	100723327.0	chr9	100684797.0	100684798.0	0.9920928821014199	0.00040272140176966786
chr9	130624341.0	130624862.0	chr9	130965631.0	130965632.0	0.9865448051373795	0.000534874212462455
chr9	130624341.0	130624862.0	chr9	135545787.0	135545788.0	0.9609472301057235	0.0020187098998576403
chr9	130624341.0	130624862.0	chr9	129622944.0	129622945.0	0.9316077983560553	0.002771603176370263
chr9	130624341.0	130624862.0	chr9	130953867.0	130953868.0	0.9212095728721478	0.003397095948457718
chr9	130624341.0	130624862.0	chr9	131084815.0	131084816.0	0.9173704254363007	0.0035354469437152147
chr9	130624341.0	130624862.0	chr9	135282208.0	135282209.0	0.8733969745396426	0.004466992802917957
chr9	130624341.0	130624862.0	chr9	131592099.0	131592100.0	0.8511043962817988	0.005837549455463886
chr9	130624341.0	130624862.0	chr9	135804341.0	135804342.0	0.8193884618446676	0.00772520387545228
chr9	135879214.0	135879689.0	chr9	136857402.0	136857403.0	0.8113301820674195	0.008164872415363789
chr9	135879214.0	135879689.0	chr9	136223360.0	136223361.0	0.7933511048493888	0.010531232692301273
chr9	130624341.0	130624862.0	chr9	130659686.0	130659687.0	0.7717954037652529	0.010311499238014221
